activity_id,username,display_name,activity_date,activity_name,distance_km,moving_time_seconds,kudos_count
1234567890,sarah_swims_bikes_runs,Sarah M.,"Jul 21, 2024",Lake Placid - PR by 12 min!,226.3,40135,47
1234567891,sarah_swims_bikes_runs,Sarah M.,"Oct 26, 2024",Kona finish - dream day,226.3,38553,89
1234567892,marcus_chen_tri,Marcus Chen,"Jul 21, 2024",Lake Placid 2024,226.3,37113,28
1234567893,jenpatel_tri,Jen Patel,"May 04, 2024",St. George 70.3,113.1,20788,23
1234567894,jenpatel_tri,Jen Patel,"Jun 23, 2024",Coeur d'Alene IM,226.3,41908,31
1234567895,jenpatel_tri,Jen Patel,"Jul 21, 2024",Lake Placid - tough day,226.3,42942,19
1234567896,drod_kona,David R,"Oct 26, 2024",Konna 2024 🏝️,226.3,34375,56
1234567897,tridadrunner,Tri Dad,"Oct 26, 2024",Big Island finisher,226.3,38538,22
1234567898,lnakamura.tri,Lisa N,"May 04, 2024",St George 70.3 done!,113.1,19244,15
1234567899,mfoster88,Mike F.,"Jun 23, 2024",Coeur d'Alene 2024,226.3,35297,42
1234567900,mfoster88,Mike F.,"Jun 15, 2024",CdA prep ride,145.3,18722,8
1234567901,rachelk_runs,Rachel K,"Apr 27, 2024",IM Texas - finished!,226.3,41148,18
1234567902,amanda.reyes,Amanda Reyes,"May 04, 2024",St George 70.3 PR,113.1,18078,33
1234567903,jsmith_endurance,John Smith,"Jul 21, 2024",Lake Placid 2024,226.3,38898,21
1234567904,tom_anderson_tri,"Thomas ""Tom"" Anderson","Oct 26, 2024",Kona 2024 - bucket list!,226.3,36318,67
1234567905,tylerbrennan96,Tyler B.,"Jul 21, 2024",LP swim - DNF on bike,3.86,3993,11
1234567906,mia_runs_far,Mia C,"Apr 27, 2024",IM Texas finish 🏆,226.3,38745,14
